id,parent,children,name,follow,full_name
2350149011,,"9209898011,2445991011","Apps & Games",1,"Apps & Games"
2617941011,,"2617942011,2623321011,3026791011","Arts, Crafts & Sewing",1,"Arts, Crafts & Sewing"
15684181,,"15690151,51116011",Automotive,1,Automotive
165796011,,"165797011,203533011","Baby Products",1,"Baby Products"
3760911,,"11055981,51570011","Beauty & Personal Care",1,"Beauty & Personal Care"
384082011,551412,"","Black Friday Sales",1,"Black Friday Sales"
283155,,"1000,51546011,2349030011",Books,0,Books
502394,493964,"172435,172437,499320,281052,7161070011,172447,499248,7161086011,7161073011,499328,525462,499306,3350161,7161091011","Camera & Photo",1,"Camera & Photo"
2335753011,2335752011,"2407755011,2407760011,7072561011,3345523011,2407750011",Categories,1,Categories
468642,,"11846801,51550011","Video Games",1,"Video Games"
541966,493964,"172456,193870011,13896617011,1292110011,3012292011,3011391011,1292115011,172504,172635,172584,11036071,2348628011,15524379011,16285851","Computers & Accessories",1,"Computers & Accessories"
172282,,"493964,13900861,13900871,13900851,2527553011",Electronics,1,Electronics
16310211,16310101,"16323111,2983385011,16318751,16310251,16322461,6464939011,16310231,16320321,16310221,371460011,10778627011,16321991,2255571011,3745171,6459122011,16310281,16320071,371469011,16319771,6499407011,6502933011,10755958011,6506977011,6502765011,16322721,16319621,2983386011",Categories,1,Categories
3760901,,"3760931,51572011","Health & Household",1,"Health & Household"
1055398,,"1063498,258599011,13900811,13900821","Home & Kitchen",1,"Home & Kitchen"
16310161,16310091,"256167011,6066126011,10773802011,383598011,383599011,3061625011,6054382011,3021479011,306506011,16412251,3021459011,317971011,317970011,256346011,318135011,8553197011,16310181,8297371011,8297370011,16310191,8615538011,8498884011,393459011,256225011,256409011",Categories,1,Categories
133140011,,"133141011,358606011,1293747011,2268072011,3000677011,3000678011,2665232011,3117659011,6766606011,7529231011","Kindle Store",0,"Kindle Store"
284507,1063498,"289668,915194,289814,289851,13162311,6054382011,979832011,1063916,289754,289913,1267449011,510136,9630569011,510202,13299291","Kitchen & Dining",1,"Kitchen & Dining"
599858,,"599872,51556011","Magazine Subscriptions",0,"Magazine Subscriptions"
2625373011,,"2625374011,2644981011","Movies & TV",1,"Movies & TV"
5174,,"51558011,301668","CDs & Vinyl",0,"CDs & Vinyl"
11091801,,"11965861,51575011","Musical Instruments",1,"Musical Instruments"
1064954,,"1084128,51559011","Office Products",1,"Office Products"
2619533011,,"2619534011,2619535011,3010869011,3010871011","Pet Supplies",1,"Pet Supplies"
229534,,"491286,51560011",Software,1,Software
3375251,,"3375301,51576011,11130423011,11130424011,11130425011","Sports & Outdoors",1,"Sports & Outdoors"
228013,,"468240,51554011","Tools & Home Improvement",1,"Tools & Home Improvement"
165793011,,"165795011,219221011","Toys & Games",1,"Toys & Games"
9209898011,2350149011,"9408444011,10298305011,9408466011,9408481011,9408490011,9408433011,9408523011,9209902011,9408749011,9408582011,9408710011,10298309011,9408805011,10298306011,9408765011,9408771011,9408802011,9408852011,9408874011,9408449011,9408491011,9408875011,9408464011,9408876011,10298308011,9408785011,9408914011,9408850011",Categories,1,"Apps & Games > Categories"
2445991011,2350149011,"11350978011,9408444011,10298305011,9408466011,9408481011,9408490011,9408433011,9408523011,9209902011,9408749011,9408582011,9408710011,10298309011,9408805011,10298306011,9408765011,9408771011,9408802011,9408852011,9408874011,9408449011,9408491011,9408875011,9408464011,9408876011,10298308011,9408785011,9408914011,9408850011","Featured Categories",1,"Apps & Games > Featured Categories"
2617942011,2617941011,"2747968011,12896081,378733011,12899121,12896841,12897221,2237329011,2237594011,12898451,12898821,12899091,723469011,723452011",Categories,1,"Arts, Crafts & Sewing > Categories"
2623321011,2617941011,"12896081,378733011,12896641,12899121,12896841,12897221,2237329011,2237594011,12897411,12898411,12898451,12898821,12899091,12897331,262625011","Featured Categories",1,"Arts, Crafts & Sewing > Featured Categories"
3026791011,2617941011,3026792011,"Specialty Stores",1,"Arts, Crafts & Sewing > Specialty Stores"
15690151,15684181,"15718271,2230642011,15857511,15857501,15736321,346333011,15718791,13591416011,15710351,15719731,2258019011,15706571,15706941,2204830011,15682003011",Categories,1,"Automotive > Categories"
51116011,15684181,"15718271,15857511,15857501,15736321,346333011,15718791,13591416011,15710351,15719731,2258019011,15706941,15706571","Featured Categories",1,"Automotive > Featured Categories"
165797011,165796011,"196601011,405369011,166736011,166835011,166764011,166777011,166828011,239226011,166856011,695338011,166887011,166804011,166863011,8446318011",Categories,1,"Baby Products > Categories"
203533011,165796011,"166736011,166742011,166835011,166764011,166777011,166804011,166809011,166828011,239226011,166856011,166875011,166887011,166863011,166842011","Featured Categories",1,"Baby Products > Featured Categories"
